filename,raw_filename,source_sheet,group,asset_type,raw_width,raw_height,unity_ready_width,unity_ready_height,suggested_unity_folder,suggested_ppu,notes
grass_dirt_stone_001.png,grass_dirt_stone_001_raw.png,pixel_art_grass_and_stone_tileset.png,tiles_grass_dirt_stone,tile,101,105,32,32,Assets/Art/Map/Tiles/Grass,32,"Grass, dirt edge, stone/plaza transitions, decorative ground details"
grass_dirt_stone_002.png,grass_dirt_stone_002_raw.png,pixel_art_grass_and_stone_tileset.png,tiles_grass_dirt_stone,tile,102,105,32,32,Assets/Art/Map/Tiles/Grass,32,"Grass, dirt edge, stone/plaza transitions, decorative ground details"
grass_dirt_stone_003.png,grass_dirt_stone_003_raw.png,pixel_art_grass_and_stone_tileset.png,tiles_grass_dirt_stone,tile,103,105,32,32,Assets/Art/Map/Tiles/Grass,32,"Grass, dirt edge, stone/plaza transitions, decorative ground details"
grass_dirt_stone_004.png,grass_dirt_stone_004_raw.png,pixel_art_grass_and_stone_tileset.png,tiles_grass_dirt_stone,tile,101,105,32,32,Assets/Art/Map/Tiles/Grass,32,"Grass, dirt edge, stone/plaza transitions, decorative ground details"
grass_dirt_stone_005.png,grass_dirt_stone_005_raw.png,pixel_art_grass_and_stone_tileset.png,tiles_grass_dirt_stone,tile,102,105,32,32,Assets/Art/Map/Tiles/Grass,32,"Grass, dirt edge, stone/plaza transitions, decorative ground details"
grass_dirt_stone_006.png,grass_dirt_stone_006_raw.png,pixel_art_grass_and_stone_tileset.png,tiles_grass_dirt_stone,tile,103,105,32,32,Assets/Art/Map/Tiles/Grass,32,"Grass, dirt edge, stone/plaza transitions, decorative ground details"
grass_dirt_stone_007.png,grass_dirt_stone_007_raw.png,pixel_art_grass_and_stone_tileset.png,tiles_grass_dirt_stone,tile,102,105,32,32,Assets/Art/Map/Tiles/Grass,32,"Grass, dirt edge, stone/plaza transitions, decorative ground details"
grass_dirt_stone_008.png,grass_dirt_stone_008_raw.png,pixel_art_grass_and_stone_tileset.png,tiles_grass_dirt_stone,tile,103,105,32,32,Assets/Art/Map/Tiles/Grass,32,"Grass, dirt edge, stone/plaza transitions, decorative ground details"
grass_dirt_stone_009.png,grass_dirt_stone_009_raw.png,pixel_art_grass_and_stone_tileset.png,tiles_grass_dirt_stone,tile,102,105,32,32,Assets/Art/Map/Tiles/Grass,32,"Grass, dirt edge, stone/plaza transitions, decorative ground details"
grass_dirt_stone_010.png,grass_dirt_stone_010_raw.png,pixel_art_grass_and_stone_tileset.png,tiles_grass_dirt_stone,tile,101,104,32,32,Assets/Art/Map/Tiles/Grass,32,"Grass, dirt edge, stone/plaza transitions, decorative ground details"
